"This spreadsheet tracks progress in researching individuals with the name Van Vlaenderen.
Created by Michael Van Flandern (mikeVF@outlook.com) & Constance Van Flandern (ConnieSVF@gmail.com

Hypothesis:
Wondelgem (Gent),Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Drongen (Gent),Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Oedelem (Beernem),Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Baarle (Gent),Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Desteldonk (Gent),Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Eekkergem (Gent),Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Gentbrugge (Gent),Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Ledeberg (Gent),Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Mendonk (Gent),Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Oostakker (Gent),Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,Van Vlaenderen usage in 1600 {source: Geneanet.org),
Sint-Kruis-Winkel (Gent),Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,Victors son's were given titles in different regions in 1400 that might account to the dispersed origin of the name:,
Zwijnaarde (Gent),None Listed,None Listed,None Listed,Not Started,Not Started,Not Started,,,,Lodewijk ,Listed by Vredius as legitimate son of Victor; linked to Bruges elite.
,,,,,,,,,,Jan,"Listed as legitimate son of Victor; connected to Halluin, de Praet, van der Aa."
,,,,,,,,,,Adam,"In 1446, Adam van Vlaanderen, natural son of lord Victor van Vlaanderen, is named as lord of Ursel and Wessegem."
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Van Vlaanderen usage in 1500. (source Geneanet.org),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Van Vlaenderen distribution map  year 1500,,,,,Van Vlaenderen distribution map  year 1600,,,,
